,Region,Age_range,Sex,Education_level,Climate_threats,Climate_change,Environmental_risks_5y,Environmental_risks_10y,Climate_effects,Participation,Informed_status,Awareness_Campaigns,Information_dessemination,Climate_losses,Priority_issues,Climate_Exacerbation,WaterSecurity_factors,EffectOn_yield,Rate_of_Effect,Climate_effect_yield,Droughts_severity,Measures_awareness,Mitigation_measures
0,Otjozondjupa,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Climate Change","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human",All of the above,All of the above,"Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",1.0,Yes,None,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss in income","Deforestation, Climate Change, Water Conservation",4.0,Aging boreholes,Yes,2.0,3.0,4.0,No,
1,Omusati,15-24,Female,University,"Poverty, Biodiversity (habitats) loss, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment, Change in climate due to human",All of the above,All of the above,"Sea level rise, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,1,"Radio, Television, Newspapers/magazines, Awareness Campaigns","Loss in Agriculture Production, Loss in income, Lack of potable water","Deforestation, Climate Change, Water Conservation",5.0,,Yes,2.0,2.0,3.0,Yes,Planting more trees
2,Ohangwena,35-44,Female,University,"Poverty, Lack of clean water, Armed Conflicts, Economic Situation, Biodiversity (habitats) loss, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Floods, Season shift, All of the above",All of the above,"Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",5.0,Yes,1,Radio,"Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Urbanization, Deforestation, Environmental Education",5.0,"The lack of harvesting floodwaters. Also, an aquifer was saud to have been found in Ohangwena  region, but not much is being done to fully source the water from it. ",Yes,3.0,5.0,5.0,Yes,Information is key and as such communities should be informed about the concept of climate change. 
3,Khomas,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Floods","Rain, Temperature, Droughts, Floods","Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income","Urbanization, Deforestation, Climate Change",4.0,Increasing population ,Yes,2.0,3.0,5.0,No,"Using more green energy, "
4,Ohangwena,25-34,Male,University,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss, Climate Change, Increasing Population","Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Floods","Rising temperatures, Drought",5.0,No,None,Awareness Campaigns,"Loss in Agriculture Production, Loss in income, Lack of potable water","Climate Change, Recycling, Water Conservation",,,,,,,,
5,Ohangwena,25-34,Female,University,,Change in climate due to global warming,All of the above,All of the above,Global warming,5.0,Yes,1,Radio,Loss in Agriculture Production,"Climate Change, Pollution, Environmental Education",4.0,Lack of enough rainfall ,Yes,3.0,4.0,5.0,No,
6,Ohangwena,35-44,Male,University,"Poverty, Lack of clean water, Economic Situation, Climate Change","Change in temperature, Change in climate due to global warming, Change in the environment","Rain, Temperature, Floods","Rain, Temperature, Floods","Flooding, Rising temperatures, Drought",5.0,No,None,Radio,"Loss in Agriculture Production, Loss in income, Lack of potable water","Climate Change, Environmental Education, Water Conservation",5.0,Livestock evaporation lack of dams or water harvesting skills and equipment ,Yes,3.0,3.0,3.0,Yes,Drilling of borehole and water harvesting equipment 
7,Omusati,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in climate due to global warming","Rain, Temperature, Droughts","Rain, Temperature, Droughts, Season shift","Rising temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,None,"Radio, Town criers","Loss in Agriculture Production, Loss in income, Lack of potable water","Urbanization, Recycling, Water Conservation",5.0,Lqck of proper water filtration and recycling ,Yes,2.0,3.0,4.0,Maybe,
8,Khomas,15-24,Female,University,"Poverty, Lack of clean water, Biodiversity (habitats) loss","Change in weather conditions, pollution, Change in climate due to human","Droughts, All of the above",All of the above,Flooding,3.0,Yes,2,"Radio, Television","Health Hazards, Loss in income, Lack of potable water","Desertification, Pollution",3.0,,I Don't Know,2.0,4.0,4.0,Maybe,
9,Ohangwena,15-24,Male,University,Poverty,Change in climate due to global warming,All of the above,All of the above,"Sea level rise, Flooding, Rising temperatures, Drought",4.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income","Climate Change, Pollution, Water Conservation",4.0,,Yes,3.0,4.0,3.0,Maybe,
10,Ohangwena,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change",Change in the environment,All of the above,All of the above,"Sea level rise, Rising temperatures, Drought, Increasing intensity and frequency of extreme weather events",3.0,To some extent,None,"Radio, Newspapers/magazines, Awareness Campaigns","Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Deforestation, Recycling, Water Conservation",4.0,,Yes,2.0,4.0,4.0,No,
11,Oshana,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation","Change in temperature, Change in weather conditions, Change in climate due to global warming","Rain, Temperature, Season shift","Rain, Temperature, Droughts, Season shift","Sea level rise, Rising temperatures, Drought, Global warming",3.0,No,None,Radio,"Loss in Agriculture Production, Loss in income, Lack of potable water","Environmental Education, Renewable Energy, Water Conservation",5.0,Pollution ,No,,,3.0,No,
12,Omusati,15-24,Female,University,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Season shift","Rain, Temperature, Droughts, Season shift","Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",1.0,To some extent,None,Radio,"Loss in Agriculture Production, Loss in income, Lack of potable water","Overpopulation, Climate Change, Pollution",5.0,,Yes,3.0,5.0,5.0,No,
13,Khomas,15-24,Male,University,"Poverty, Economic Situation, Climate Change","Change in temperature, pollution, Change in climate due to global warming",All of the above,All of the above,"Flooding, Rising temperatures, Drought, Global warming",4.0,To some extent,None,None,Damage to property,"Environmental Education, Recycling, Water Conservation",4.0,,No,,,4.0,No,
14,Khomas,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, pollution, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Sea level rise, Rising temperatures, Drought, Global warming",3.0,No,None,"Radio, Television","Loss in Agriculture Production, Lack of potable water","Climate Change, Renewable Energy, Water Conservation",5.0,Corrupted government ,Yes,3.0,4.0,2.0,No,
15,Otjozondjupa,35-44,Female,University,"Poverty, Economic Situation, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Temperature, Droughts, Season shift","Rain, Temperature, Droughts, Season shift","Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",4.0,To some extent,1,Radio,"Damage to property, Loss in Agriculture Production, Loss in income","Urbanization, Deforestation, Climate Change, Desertification, Pollution, Environmental Education, Recycling, Renewable Energy, Water Conservation",4.0,Lack of water storage facilities ,Yes,3.0,5.0,4.0,No,
16,Ohangwena,25-34,Female,,,"Change in weather conditions, pollution","Rain, Floods","Droughts, Season shift","Flooding, Rising temperatures",3.0,Yes,None,"Radio, Newspapers/magazines","Damage to property, Loss in Agriculture Production","Deforestation, Environmental Education, Water Conservation",3.0,Air pollution and water pollution,Yes,3.0,4.0,4.0,No,
17,Oshana,35-44,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases","Change in temperature, pollution, Change in the environment","Rain, Temperature, Droughts, Floods, Season shift, All of the above",All of the above,"Flooding, Rising temperatures, Drought, Migration to Cities",3.0,Yes,None,None,"Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water, Loss of workers","Urbanization, Deforestation, Recycling",3.0,Population,Yes,3.0,3.0,4.0,Yes,"Plant more than you cut
Avoid cutting trees"
18,Oshikoto,55-64,Male,University,"Poverty, Economic Situation, Climate Change",Change in climate due to global warming,Droughts,All of the above,"Flooding, Rising temperatures, Drought",3.0,To some extent,None,Radio,"Loss in Agriculture Production, Loss in income","Deforestation, Pollution, Renewable Energy",4.0,"Cars , factories, chimneys that are not fitted ",Yes,3.0,4.0,3.0,Yes,Stop burning of fossil fuel.  Reforestation 
19,Kunene,35-44,Female,High School,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",2.0,Yes,None,Television,"Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water, Loss of workers","Overpopulation, Deforestation, Climate Change, Desertification, Pollution, Environmental Education, Recycling, Renewable Energy, Other (name):",1.0,Drought ,Yes,2.0,3.0,3.0,Yes,Educate more
20,Oshikoto,25-34,Female,University,"Poverty, Economic Situation, Biodiversity (habitats) loss, Spread of Infectious diseases, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Sea level rise, Flooding, Rising temperatures, Global warming",1.0,No,None,None,"Loss in Agriculture Production, Health Hazards, Loss in income","Urbanization, Renewable Energy, Water Conservation",5.0,Deforestation ,Yes,3.0,5.0,5.0,Yes,Reduce the use of products that contains CFCs
21,Khomas,15-24,Male,University,"Poverty, Economic Situation, Biodiversity (habitats) loss","Change in temperature, Change in climate due to global warming, Change in the environment",Rain,Temperature,Global warming,5.0,To some extent,None,Awareness Campaigns,"Loss in Agriculture Production, Health Hazards","Deforestation, Pollution, Renewable Energy",3.0,,I Don't Know,,,2.0,Maybe,
22,Ohangwena,25-34,Female,College,"Poverty, Economic Situation",Change in climate due to human,"Rain, Floods","Rain, Floods",Global warming,3.0,No,None,Radio,"Loss in Agriculture Production, Health Hazards","Climate Change, Pollution, Environmental Education",2.0,Overpopulation,Yes,2.0,2.0,3.0,No,
23,Oshana,35-44,Female,University,Economic Situation,Change in climate due to global warming,Rain,Floods,Drought,3.0,Yes,None,Television,Loss in Agriculture Production,"Urbanization, Climate Change, Water Conservation",4.0,Poor service ,Yes,3.0,5.0,4.0,Yes,"Avoid too much pollution 
Avoid deforestation "
24,Ohangwena,35-44,,College,"Poverty, Economic Situation",Change in climate due to global warming,"Rain, Droughts, Floods, Season shift","Rain, Temperature, Droughts, Floods","Sea level rise, Rising temperatures",3.0,To some extent,None,None,"Loss in Agriculture Production, Loss in income","Overpopulation, Deforestation, Pollution",4.0,None,Yes,2.0,4.0,5.0,Maybe,
25,Omusati,15-24,Male,University,Poverty,"Change in temperature, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Droughts, Floods, Season shift","Rain, Temperature, Droughts, Floods, Season shift","Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",5.0,Yes,2,"Pamphlets, Radio, Television, Newspapers/magazines, Town criers, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water, Loss of workers","Overpopulation, Urbanization, Deforestation, Climate Change, Desertification, Pollution, Environmental Education, Recycling, Renewable Energy, Water Conservation",4.0,Throwing of rubbish around ,Yes,2.0,3.0,4.0,Yes,Avoid burning of fossil 
26,Oshana,35-44,Male,College,"Poverty, Economic Situation, Spread of Infectious diseases, Climate Change","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming",All of the above,All of the above,Global warming,4.0,Yes,1,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water, Loss of workers","Climate Change, Renewable Energy, Water Conservation",4.0,Drought ,Yes,2.0,4.0,4.0,Yes,"1. Plant more trees 
2. Use renewable energy "
27,Oshikoto,25-34,Male,University,"Poverty, Climate Change",Change in weather conditions,All of the above,All of the above,"Flooding, Rising temperatures, Drought, Increasing intensity and frequency of extreme weather events",4.0,Yes,4 +,Awareness Campaigns,"Loss in Agriculture Production, Lack of potable water","Deforestation, Renewable Energy, Water Conservation",4.0,Urbanization and poor resource management ,Yes,2.0,3.0,4.0,Yes,Educate the society of all the possible resilient ways. E.g Conversational Agriculture and water harvesting and conserving  
28,Ohangwena,35-44,Male,University,Lack of clean water,"pollution, Change in climate due to global warming, Change in climate due to human","Droughts, All of the above",All of the above,"Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,None,None,"Damage to property, Loss in Agriculture Production, Loss in income, Lack of potable water, Loss of workers","Environmental Education, Recycling, Renewable Energy",5.0,Overgrazing ,Yes,3.0,4.0,5.0,Maybe,Environmental education is the key to improve climatic change.
29,Omusati,15-24,Female,University,"Economic Situation, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, pollution, Change in climate due to global warming",All of the above,"Temperature, Droughts","Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",4.0,Yes,None,"Radio, None","Loss in Agriculture Production, Health Hazards, Loss in income, Loss of workers","Urbanization, Pollution, Water Conservation",4.0,Pollution,Yes,2.0,3.0,4.0,Yes,
30,Oshana,15-24,Male,University,"Poverty, Lack of clean water, Spread of Infectious diseases","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Season shift",All of the above,"Sea level rise, Flooding, Rising temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",5.0,No,None,None,"Loss in Agriculture Production, Loss in income, Loss of workers","Desertification, Pollution, Recycling",5.0,,Yes,3.0,4.0,3.0,No,
31,Oshana,15-24,Female,University,Poverty,Change in weather conditions,Rain,"Temperature, Droughts",Global warming,1.0,No,None,"Radio, Newspapers/magazines","Damage to property, Health Hazards, Loss in income","Urbanization, Environmental Education, Renewable Energy",3.0,,Yes,2.0,3.0,1.0,No,
32,Ohangwena,25-34,Female,University,"Poverty, Spread of Infectious diseases, Climate Change, Increasing Population","Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Sea level rise, Drought, Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,1,"Pamphlets, Radio, Awareness Campaigns","Loss in Agriculture Production, Loss in income, Lack of potable water","Urbanization, Climate Change, Pollution",4.0,Pollution ,Yes,3.0,4.0,5.0,Yes,Planting trees and through conservation tillage
33,Ohangwena,35-44,Male,University,Poverty,"Change in climate due to global warming, No enough rainfall and drought",Rain,All of the above,"Drought, Global warming, Lack of food for people",5.0,Yes,4 +,"Awareness Campaigns, Extension meetings","Loss in Agriculture Production, Loss in income, Lack of potable water, Loss of workers","Climate Change, Environmental Education, Renewable Energy",5.0,Lack of portable water and earth dams in rural Omundaungilo 1st,Yes,3.0,4.0,4.0,Yes,"1.Conservation Agriculture Technich
2.Planting more trees 
3.Avoid veld fire and control forestry 
"
34,Ohangwena,35-44,Male,University,,,,,,,,,,,,,,,,,,,
35,Oshana,55-64,Female,University,"Poverty, Lack of clean water, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Flooding, Rising temperatures, Drought",4.0,To some extent,None,Newspapers/magazines,"Damage to property, Loss in Agriculture Production, Health Hazards","Overpopulation, Deforestation, Environmental Education",5.0,Poor municipal services,Yes,3.0,,4.0,No,
36,Oshana,35-44,Female,Primary School,"Poverty, Armed Conflicts, Economic Situation",Change in temperature,"Rain, Droughts",Floods,"Temperatures, Drought",1.0,No,1,"Radio, Awareness Campaigns",Loss in Agriculture Production,Deforestation,3.0,,Yes,3.0,,3.0,No,
37,Oshana,15-24,Male,College,Increasing Population,"Change in temperature, pollution, Change in the environment","Temperature, Season shift","Rain, Temperature, Floods","Sea level rise, Migration to Cities",3.0,Yes,1,"Pamphlets, Newspapers/magazines",Loss in income,Urbanization,3.0,,Yes,3.0,,4.0,No,
38,Oshana,25-34,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change","Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,,1.0,Yes,None,Awareness Campaigns,"Loss in Agriculture Production, Health Hazards, Lack of potable water","Deforestation, Climate Change, Pollution, Environmental Education",3.0,Contamination of water with chemicals,,4.0,,4.0,Yes,Avoid smoking and burning fossil fuels
39,Oshana,15-24,Male,University,Poverty,Change in climate due to global warming,Rain,Droughts,Global warming,4.0,Yes,2,Pamphlets,Loss in Agriculture Production,"Climate Change, Desertification, Pollution",4.0,Pollution,Yes,4.0,,3.0,Yes,Reduce the burning of fossil fuels and stop smoking
40,Oshana,25-34,Male,High School,"Armed Conflicts, Economic Situation",Change in weather conditions,"Floods, Season shift","Droughts, Floods","Flooding, Temperatures",4.0,No,None,Radio,Health Hazards,"Urbanization, Deforestation, Desertification",4.0,,,4.0,,4.0,No,
41,Oshana,25-34,Female,University,Poverty,Change in climate due to global warming,Rain,Temperature,Global warming,3.0,To some extent,None,Radio,Loss in Agriculture Production,"Overpopulation, Deforestation, Pollution",4.0,Pollution due to chemical dumping in water resources which causes diseases to its users,Yes,5.0,,5.0,Maybe,
42,Oshana,35-44,Male,University,"Poverty, Economic Situation, Biodiversity (habitats) loss","Change in climate due to global warming, Change in climate due to human","Rain, Droughts","Rain, Droughts, Season shift","Flooding, Temperatures, Drought",4.0,Yes,None,Awareness Campaigns,"Loss in Agriculture Production, Loss in income","Overpopulation, Deforestation, Desertification, Recycling",5.0,Lack of long term planning and no projects focusing on utilising water resources effectively ,Yes,3.0,,4.0,Yes,"Prioritising renewable energy, combat deforestation"
43,Oshana,25-34,Male,University,"Poverty, Economic Situation, Climate Change","Change in weather conditions, pollution, Change in climate due to global warming","Rain, Temperature, Droughts",All of the above,"Temperatures, Drought, Global warming",5.0,Yes,None,None,"Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Deforestation, Climate Change, Desertification",5.0,Mining - near effects ground water,Yes,3.0,,5.0,Yes,Education in rural areas
44,Oshana,45-54,Male,Primary School,Poverty,I don’t know much about Climate Change,"Rain, Floods","Temperature, Droughts",Flooding,3.0,No,None,Radio,"Loss in Agriculture Production, Loss in income","Deforestation, Desertification, Pollution",4.0,,,3.0,,4.0,No,
45,Oshana,35-44,Male,College,"Poverty, Economic Situation",pollution,Floods,All of the above,"Sea level rise, Drought",3.0,No,None,Town criers,"Damage to property, Loss in Agriculture Production, Health Hazards","Environmental Education, Recycling, Water Conservation",4.0,Insufficient Rain,No,1.0,,1.0,Yes,Stop with Missles
46,Oshana,45-54,Female,University,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, pollution","Rain, Temperature, Droughts",All of the above,"Sea level rise, Flooding, Increasing intensity and frequency of extreme weather events, Migration to Cities",5.0,Yes,None,"Television, Newspapers/magazines, Town criers","Damage to property, Health Hazards, Loss in income","Deforestation, Climate Change, Desertification",4.0,Lack of water access due to poor water infrastructure,,5.0,,5.0,No,
47,Oshana,15-24,Male,University,Climate Change,I don’t know much about Climate Change,All of the above,All of the above,Global warming,2.0,No,None,None,Loss in Agriculture Production,"Deforestation, Environmental Education, Recycling",4.0,Water  Pollution,Yes,3.0,,4.0,No,
48,Oshana,15-24,Female,High School,"Armed Conflicts, Economic Situation","Change in weather conditions, pollution, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Sea level rise, Flooding, Temperatures",5.0,Yes,None,"Radio, Newspapers/magazines, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Health Hazards","Deforestation, Pollution",5.0,usage of Dangerous Feritlisers and sewage dump into water sources,Yes,5.0,,3.0,No,
49,Oshana,15-24,Female,High School,Poverty,Change in weather conditions,Season shift,Rain,"Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,,None,None,Loss in Agriculture Production,"Climate Change, Environmental Education, Recycling",4.0,Poor rainfall and global warming,Yes,4.0,,4.0,Yes,Plant more trees to deal with the CO2
50,Oshana,15-24,Female,High School,"Poverty, Lack of clean water, Spread of Infectious diseases","pollution, Change in climate due to global warming, Change in climate due to human","Rain, Droughts, Floods",All of the above,"Temperatures, Global warming, Migration to Cities",3.0,To some extent,None,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss of workers","Deforestation, Environmental Education, Recycling",5.0,misuse of water resources,Yes,3.0,,3.0,Yes,Education on responsible water usage
51,Oshana,15-24,Female,University,"Poverty, Economic Situation, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Drought, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,To some extent,None,"Radio, Television, Newspapers/magazines","Loss in income, Lack of potable water, Loss of workers","Urbanization, Deforestation, Environmental Education",4.0,Poor payment plans.,Yes,5.0,,5.0,No,
52,Oshana,35-44,Male,University,"Lack of clean water, Economic Situation, Biodiversity (habitats) loss","pollution, Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Drought, Global warming, Migration to Cities",4.0,No,None,None,"Loss in Agriculture Production, Lack of potable water, Loss of workers","Urbanization, Desertification, Environmental Education",4.0,Poor municipal service and provision,Yes,3.0,,4.0,Yes,Stop cutting down trees - stop deforestation 
53,Oshana,15-24,Male,High School,"Poverty, Economic Situation","Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Floods",All of the above,"Sea level rise, Temperatures, Global warming",,To some extent,None,"school, internet","Damage to property, Loss in Agriculture Production, Health Hazards","Pollution, Recycling, Renewable Energy, Other (name):",1.0,,Yes,5.0,,4.0,Yes,"Stop polution, conserve and preserve the environment."
54,Oshana,25-34,Female,University,"Poverty, Economic Situation, Increasing Population","Change in weather conditions, pollution, Change in climate due to human",All of the above,All of the above,"Temperatures, Drought, Global warming",3.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income, Loss of workers","Deforestation, Environmental Education, Recycling",4.0,Distance away from water resource,Yes,5.0,,5.0,Yes,Education & Awareness
55,Oshana,15-24,Female,University,Poverty,Change in climate due to global warming,All of the above,All of the above,"Temperatures, Migration to Cities",,No,None,Radio,Health Hazards,"Environmental Education, Recycling",5.0,Deforestation ,No,,,5.0,No,
