,Region,Age_range,Sex,Education_level,Climate_threats,Climate_change,Environmental_risks_5y,Environmental_risks_10y,Climate_effects,Participation,Informed_status,Awareness_Campaigns,Information_dessemination,Climate_losses,Priority_issues,Climate_Exacerbation,WaterSecurity_factors,EffectOn_yield,Rate_of_Effect,Climate_effect_yield,Droughts_severity,Measures_awareness,Mitigation_measures
56,Oshana,35-44,Male,University,"Poverty, Economic Situation","pollution, Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",5.0,Yes,None,None,"Loss in Agriculture Production, Health Hazards, Lack of potable water","Deforestation, Climate Change, Environmental Education",5.0,Lack of education on climate change and environment..,Yes,5.0,,5.0,Yes,Education and awareness
57,Oshana,15-24,Male,High School,"Poverty, Lack of clean water, Economic Situation","Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Droughts",All of the above,"Sea level rise, Temperatures, Global warming",4.0,Yes,None,"Radio, Newspapers/magazines, Awareness Campaigns","Loss in Agriculture Production, Loss in income, Loss of workers","Urbanization, Climate Change, Renewable Energy",3.0,"Factories- beyond the red line(coal Factories) causes acid rain, hence their water pollution",Yes,5.0,,4.0,No,
58,Oshana,15-24,Female,University,"Lack of clean water, Spread of Infectious diseases, Climate Change","Change in temperature, pollution, Change in climate due to human","Rain, Droughts, Floods","Temperature, Floods, Season shift","Temperatures, Drought, Global warming",3.0,Yes,3,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Loss of workers","Overpopulation, Deforestation, Recycling",3.0,,Yes,2.0,,3.0,Yes,
59,Oshana,25-34,Male,University,"Poverty, Economic Situation, Increasing Population","pollution, Change in the environment, Change in climate due to human",All of the above,All of the above,"Sea level rise, Flooding, Increasing intensity and frequency of extreme weather events",4.0,To some extent,None,None,"Loss in Agriculture Production, Loss in income, Lack of potable water","Urbanization, Environmental Education, Renewable Energy",4.0,"Poor education, management and knowledge on responsible water usage.n ",Yes,4.0,,3.0,Yes,"minimize pollution, pollution control."
60,Oshana,25-34,Female,University,"Poverty, Economic Situation, Climate Change","Change in climate due to global warming, Change in climate due to human","Rain, Droughts",Temperature,Global warming,3.0,To some extent,1,None,Loss in Agriculture Production,"Climate Change, Pollution, Water Conservation",4.0,,Yes,3.0,,4.0,No,
61,Oshana,15-24,Female,High School,Poverty,Change in weather conditions,All of the above,Rain,Global warming,3.0,Yes,2,Radio,Loss in Agriculture Production,"Climate Change, Pollution, Water Conservation",3.0,,,,,2.0,No,
62,Oshana,15-24,Female,High School,Increasing Population,Change in weather conditions,Rain,"Rain, Droughts, Season shift","Flooding, Increasing intensity and frequency of extreme weather events",4.0,Yes,None,"Radio, Newspapers/magazines","Loss in Agriculture Production, Loss in income","Desertification, Environmental Education, Water Conservation",3.0,,Yes,4.0,,4.0,Maybe,
63,Oshana,35-44,Male,University,Poverty,"pollution, Change in climate due to global warming, Change in climate due to human","Rain, Droughts, Floods",All of the above,"Drought, Global warming, Increasing intensity and frequency of extreme weather events",4.0,To some extent,1,Radio,"Loss in Agriculture Production, Health Hazards, Loss in income","Urbanization, Climate Change, Renewable Energy",5.0,Pollution ,Yes,5.0,,5.0,Yes,"Create Awareness, ignorance is a problem, use less fossil fuel"
64,Oshana,15-24,Female,University,"Lack of clean water, Biodiversity (habitats) loss, Spread of Infectious diseases",Change in climate due to global warming,"Rain, Temperature, Droughts, Floods",Rain,"Sea level rise, Temperatures, Drought",3.0,To some extent,None,Radio,Loss in Agriculture Production,"Climate Change, Environmental Education, Renewable Energy",4.0,Pollution,Yes,2.0,,3.0,Yes,Education and awareness
65,Oshana,25-34,Female,University,"Poverty, Economic Situation, Climate Change","Change in temperature, Change in climate due to global warming, Change in the environment","Rain, Temperature, Season shift","Rain, Floods, Season shift","Temperatures, Migration to Cities",4.0,To some extent,None,Newspapers/magazines,"Damage to property, Loss in Agriculture Production, Loss in income","Overpopulation, Urbanization, Climate Change",3.0,,Yes,4.0,,4.0,Maybe,
66,Oshana,,Female,University,Climate Change,Change in climate due to global warming,"Rain, Droughts, Season shift",Temperature,Global warming,3.0,To some extent,None,Pamphlets,Damage to property,"Pollution, Recycling",3.0,Land pollution ,Yes,2.0,,2.0,No,
67,Oshana,15-24,Female,University,Poverty,Change in climate due to global warming,Floods,,Global warming,5.0,Yes,None,Radio,Loss in income,"Overpopulation, Deforestation, Pollution",4.0,Pollution,Yes,5.0,,4.0,Maybe,
68,Oshana,25-34,Male,University,,"Change in temperature, Change in weather conditions, Change in the environment","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,1,None,,"Environmental Education, Recycling, Renewable Energy",4.0,,Yes,4.0,,5.0,Yes,
69,Oshana,25-34,Male,University,"Poverty, Economic Situation, Increasing Population","Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Droughts",All of the above,"Temperatures, Global warming, Migration to Cities",1.0,To some extent,None,"Radio, Awareness Campaigns","Loss in Agriculture Production, Health Hazards, Loss in income","Deforestation, Climate Change, Environmental Education",2.0,Temperature has a negative effect on people who need to need access to water.,Yes,5.0,,3.0,,Basic policies for climate change 
70,Oshana,25-34,Male,High School,"Poverty, Economic Situation, Climate Change","Change in temperature, Change in climate due to global warming, Change in climate due to human","Rain, Droughts","Temperature, Droughts, Season shift","Drought, Global warming, Migration to Cities",5.0,To some extent,None,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Health Hazards, Loss in income","Deforestation, Environmental Education, Renewable Energy",3.0,High financial cost for proper infrastructure in rural,Yes,5.0,,5.0,Yes,Renewable energy and education
71,Oshana,35-44,Female,College,Economic Situation,"Change in temperature, Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Temperatures, Drought",3.0,To some extent,None,Television,Loss in Agriculture Production,"Overpopulation, Environmental Education, Water Conservation",4.0,The fact that there are  not enough water reserves.,Yes,3.0,,3.0,No,
72,Oshana,25-34,Female,College,"Poverty, Climate Change","Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Floods","Rain, Temperature","Flooding, Temperatures",4.0,No,None,"Radio, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss in income","Overpopulation, Deforestation, Pollution",3.0,,Yes,3.0,,3.0,Maybe,
73,Oshana,25-34,Female,High School,"Poverty, Economic Situation, Climate Change","Change in temperature, Change in weather conditions, Change in the environment","Rain, Droughts, Floods",All of the above,"Drought, Global warming",4.0,Yes,None,"Radio, Awareness Campaigns","Loss in Agriculture Production, Lack of potable water","Deforestation, Environmental Education, Water Conservation",4.0,lack of rainfall,Yes,5.0,,4.0,Yes,Stop cutting down the trees
74,Oshana,25-34,Female,High School,"Economic Situation, Spread of Infectious diseases",Change in climate due to global warming,"Droughts, Season shift","Rain, Floods",Global warming,3.0,No,None,Radio,"Loss in Agriculture Production, Lack of potable water","Urbanization, Environmental Education, Water Conservation",5.0,drought and water pollution.,Yes,5.0,,5.0,No,
75,Oshana,15-24,Female,High School,"Poverty, Economic Situation","Change in temperature, Change in weather conditions","Rain, Floods","Droughts, Season shift",Increasing intensity and frequency of extreme weather events,3.0,No,None,"Radio, Television",Loss in Agriculture Production,"Desertification, Pollution, Renewable Energy",3.0,,Yes,4.0,,4.0,Maybe,
76,Oshana,15-24,Male,University,"Poverty, Lack of clean water, Economic Situation","Change in temperature, Change in weather conditions, Change in the environment",All of the above,All of the above,"Flooding, Temperatures, Drought",3.0,To some extent,None,Newspapers/magazines,"Damage to property, Loss in Agriculture Production, Loss in income","Deforestation, Environmental Education, Water Conservation",4.0,Poor municipal services,Yes,5.0,,5.0,Yes,Education and water conservation
77,Oshana,15-24,Male,High School,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss","Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Droughts, Season shift","Rain, Droughts, Floods","Sea level rise, Flooding, Temperatures, Global warming",4.0,Yes,1,"Radio, Newspapers/magazines, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Loss in income","Climate Change, Renewable Energy, Water Conservation",3.0,Long distance to water points,Yes,5.0,,4.0,Yes,"Prevent deforestation, make use of renewable resources "
78,Oshana,45-54,Female,University,"Poverty, Lack of clean water, Economic Situation, Biodiversity (habitats) loss, Spread of Infectious diseases, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, pollution, Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts, Season shift","Rain, Temperature, Droughts, Floods, Season shift","Sea level rise, Flooding, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",5.0,Yes,None,"Radio, Television, Newspapers/magazines, Town criers","Damage to property, Health Hazards, Loss in income, Lack of potable water, Loss of workers","Deforestation, Climate Change, Desertification",4.0,Lack of nearby water points/ lack of water infrastructure,Yes,5.0,,5.0,No,
79,Oshana,15-24,Male,,"Poverty, Lack of clean water, Economic Situation",I don’t know much about Climate Change,"Temperature, Droughts","Rain, Season shift","Drought, Increasing intensity and frequency of extreme weather events",4.0,No,2,Television,"Loss in Agriculture Production, Loss of workers","Deforestation, Pollution, Environmental Education",3.0,land pollution ,,5.0,,3.0,Maybe,
80,Oshana,15-24,Male,University,"Poverty, Economic Situation, Increasing Population",Change in climate due to global warming,Season shift,"Temperature, Season shift","Global warming, Increasing intensity and frequency of extreme weather events",1.0,No,None,None,"Loss in Agriculture Production, Health Hazards","Environmental Education, Recycling, Renewable Energy",3.0,Lack of knowledge,Yes,2.0,,2.0,No,
81,Oshana,15-24,Female,High School,"Economic Situation, Spread of Infectious diseases",Change in temperature,"Rain, Droughts",Season shift,"Temperatures, Drought, Increasing intensity and frequency of extreme weather events",3.0,To some extent,1,Radio,"Loss in Agriculture Production, Loss in income, Loss of workers","Overpopulation, Environmental Education, Recycling",4.0,Overcrowding ,Yes,4.0,,3.0,No,
82,Oshana,25-34,Male,University,"Poverty, Economic Situation, Spread of Infectious diseases",Change in temperature,Rain,Droughts,Global warming,1.0,No,None,"Radio, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss in income","Environmental Education, Recycling, Water Conservation",1.0,,Yes,1.0,,5.0,No,
83,Oshana,15-24,Female,,Poverty,"Change in temperature, Change in weather conditions, Change in climate due to global warming","Rain, Floods",Droughts,,2.0,No,None,"Radio, Television",Loss in Agriculture Production,"Overpopulation, Deforestation, Renewable Energy",4.0,,Yes,2.0,,2.0,No,
84,Oshana,25-34,Male,University,Lack of clean water,Change in temperature,Temperature,All of the above,Temperatures,2.0,No,3,None,"Health Hazards, Loss in income","Overpopulation, Climate Change, Pollution",5.0,Contaminants in water sources,Yes,1.0,,1.0,No,
85,Oshana,15-24,Female,University,"Poverty, Lack of clean water, Economic Situation, Climate Change",Change in climate due to global warming,Rain,Temperature,"Drought, Global warming",4.0,To some extent,1,None,"Loss in Agriculture Production, Lack of potable water","Environmental Education, Recycling, Water Conservation",5.0,Lack of water,Yes,3.0,,3.0,No,
86,Oshana,15-24,Female,High School,"Lack of clean water, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in weather conditions, Change in the environment, Change in climate due to human","Rain, Temperature, Floods, Season shift","Rain, Droughts, Floods","Global warming, Increasing intensity and frequency of extreme weather events",4.0,Yes,None,"Radio, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Health Hazards",Water Conservation,4.0,High temperatures,Yes,5.0,,4.0,Maybe,
87,Oshana,15-24,Female,University,"Poverty, Lack of clean water, Economic Situation","Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Temperature",All of the above,"Temperatures, Drought",3.0,To some extent,None,None,"Loss in Agriculture Production, Loss in income, Lack of potable water","Overpopulation, Deforestation, Water Conservation",4.0,"Water conservation, water pollution and pesticides",Yes,5.0,,3.0,Yes,"Avoid smoking, and reduce burning of fossil fuels"
88,Oshana,35-44,Female,High School,"Poverty, Economic Situation, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in weather conditions, Change in the environment","Rain, Droughts, Floods, Season shift",All of the above,"Flooding, Drought",5.0,Yes,None,"Radio, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Health Hazards","Environmental Education, Recycling, Renewable Energy",5.0,,Yes,3.0,,5.0,No,
89,Oshana,35-44,Male,College,"Poverty, Economic Situation",pollution,All of the above,Droughts,Flooding,,No,None,Town criers,"Damage to property, Loss in Agriculture Production, Health Hazards","Environmental Education, Recycling, Water Conservation",4.0,Insufficient rain,Yes,1.0,,1.0,Yes,
90,Oshana,15-24,Male,High School,"Poverty, Economic Situation, Climate Change, Increasing Population","pollution, Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,Yes,1,"Radio, Awareness Campaigns","Loss in Agriculture Production, Loss in income, Lack of potable water","Deforestation, Pollution, Recycling",4.0,Lack of financial resources ( no money),Yes,4.0,,3.0,No,
91,Oshana,15-24,Female,University,"Poverty, Economic Situation, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming","Rain, All of the above",,"Sea level rise, Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",2.0,No,None,Radio,"Damage to property, Loss in Agriculture Production, Loss in income","Overpopulation, Pollution, Water Conservation",4.0,Pollution ,Yes,4.0,,5.0,Maybe,
92,Oshana,25-34,Female,High School,"Poverty, Economic Situation, Spread of Infectious diseases","Change in temperature, Change in weather conditions, Change in climate due to global warming",Rain,Floods,Global warming,1.0,No,None,None,"Damage to property, Loss in Agriculture Production","Urbanization, Deforestation, Renewable Energy",4.0,,Yes,3.0,,3.0,No,
93,Oshana,45-54,Male,Primary School,Poverty,I don’t know much about Climate Change,"Rain, Floods","Temperature, Droughts",Flooding,3.0,No,None,Radio,"Loss in Agriculture Production, Loss in income","Deforestation, Desertification, Pollution",4.0,,Yes,3.0,,4.0,No,
94,Oshana,15-24,Male,University,Spread of Infectious diseases,Change in climate due to human,Droughts,Rain,"Drought, Migration to Cities",4.0,To some extent,None,Radio,Loss in Agriculture Production,Recycling,3.0,water availability,Yes,3.0,,3.0,Maybe,
95,Oshana,25-34,Male,University,"Poverty, Economic Situation, Climate Change","Change in weather conditions, pollution, Change in climate due to global warming","Rain, Temperature, Droughts",All of the above,"Temperatures, Drought, Global warming",5.0,Yes,None,None,"Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Deforestation, Climate Change, Desertification",5.0,Mining effects the ground water.,Yes,3.0,,5.0,Yes,Education in rural areas.
96,Oshana,15-24,Female,High School,Climate Change,Change in climate due to global warming,Rain,"Rain, Temperature, Season shift",Global warming,2.0,No,4 +,Radio,"Loss in Agriculture Production, Health Hazards, Loss of workers","Deforestation, Climate Change, Pollution",4.0,"Climate change, pollution ",Yes,3.0,,5.0,No,
97,Oshana,25-34,Male,High School,Economic Situation,Change in climate due to global warming,All of the above,Rain,Drought,3.0,To some extent,None,Newspapers/magazines,Loss in Agriculture Production,"Environmental Education, Recycling, Renewable Energy",3.0,pollution during fishing activities,,3.0,,3.0,Yes,use renewable energy and plant more trees
98,Oshana,25-34,Male,High School,"Poverty, Lack of clean water, Armed Conflicts","Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Temperatures, Increasing intensity and frequency of extreme weather events",3.0,To some extent,None,"Radio, Television, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Health Hazards","Deforestation, Environmental Education, Water Conservation",3.0,Poor pipes that end up breaking that results in massive amount of water loss,,2.0,,2.0,No,
99,Oshana,35-44,Male,University,"Poverty, Economic Situation, Biodiversity (habitats) loss","Change in climate due to global warming, Change in climate due to human","Rain, Droughts","Rain, Droughts, Season shift","Flooding, Temperatures, Drought",4.0,Yes,None,Awareness Campaigns,"Loss in Agriculture Production, Loss in income","Overpopulation, Deforestation, Desertification, Recycling",5.0,Lack of long term planning and no projects focusing on utilizing water resources effectivenesss ,Yes,3.0,,4.0,Yes,"PRIORITIZING RENEWABLE WATER, COMBATTING DEFORESTATION"
100,Oshana,,Female,High School,"Poverty, Lack of clean water, Armed Conflicts","Change in temperature, Change in weather conditions","Rain, Temperature, Floods","Rain, Temperature, Floods","Temperatures, Increasing intensity and frequency of extreme weather events",4.0,Yes,None,Radio,"Damage to property, Loss in Agriculture Production, Loss in income","Overpopulation, Climate Change, Environmental Education",4.0,High temperatures,Yes,4.0,,4.0,Yes,
101,Oshana,25-34,Female,University,Poverty,Change in climate due to global warming,Rain,Temperature,Global warming,3.0,To some extent,None,Radio,Loss in Agriculture Production,"Overpopulation, Deforestation, Pollution",4.0,Dumping waste products into the water that results in water pollution and causes diseases to the users.,Yes,5.0,,5.0,Maybe,
102,Oshana,35-44,Female,High School,"Poverty, Armed Conflicts, Economic Situation","Change in weather conditions, Change in the environment","Rain, Droughts, Floods","Rain, Droughts, Floods","Temperatures, Drought",4.0,No,None,Radio,"Loss in Agriculture Production, Loss in income, Lack of potable water","Urbanization, Environmental Education, Water Conservation",5.0,Low rainfall,,5.0,,4.0,No,
103,Omusati,25-34,Male,University,"Poverty, Spread of Infectious diseases",Change in weather conditions,"Rain, Temperature","Rain, Temperature","Temperatures, Global warming",5.0,Yes,1,Radio,"Loss in Agriculture Production, Health Hazards, Loss in income","Deforestation, Recycling, Renewable Energy",4.0,Overpopulation and lack of water security comprehension in the region,Yes,2.0,,5.0,Yes, soil mulching and affordable greenhouse infrastructure
104,Oshana,25-34,Male,High School,"Armed Conflicts, Economic Situation",Change in weather conditions,"Floods, Season shift","Droughts, Floods","Flooding, Temperatures",4.0,No,None,Radio,Health Hazards,"Urbanization, Deforestation, Desertification",4.0,,Yes,4.0,,4.0,No,
105,Oshana,,Female,College,"Poverty, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Sea level rise, Global warming",3.0,No,None,None,"Loss in Agriculture Production, Health Hazards, Loss in income","Urbanization, Environmental Education, Renewable Energy",3.0,,,4.0,,4.0,Maybe,
106,Oshana,15-24,Male,University,Poverty,Change in climate due to global warming,Rain,Droughts,Global warming,4.0,Yes,2,Pamphlets,Loss in Agriculture Production,"Climate Change, Desertification, Pollution",4.0,pollution,Yes,3.0,,4.0,Yes,reduce the burning of fossil fuels and stop smoking
107,Oshana,,Male,College,"Poverty, Economic Situation, Spread of Infectious diseases","Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Droughts, Floods","Rain, Temperature, Droughts","Temperatures, Drought, Global warming",3.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income, Loss of workers","Environmental Education, Renewable Energy, Water Conservation",,Unemployment- no fund to access clean water ,Yes,5.0,,4.0,Yes,Education- desertification and deforestation 
108,Oshana,25-34,Male,University,"Poverty, Lack of clean water, Economic Situation, Spread of Infectious diseases, Climate Change","Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Temperatures, Global warming",1.0,Yes,None,Awareness Campaigns,"Loss in Agriculture Production, Health Hazards, Lack of potable water","Deforestation, Climate Change, Pollution, Environmental Education",3.0,Contamination of water with chemicals.,Yes,4.0,,4.0,Yes,"Avoid smoking, burning fossil fuels."
109,Oshana,15-24,Male,College,Increasing Population,"Change in temperature, pollution, Change in the environment","Temperature, Season shift","Rain, Temperature, Floods","Sea level rise, Migration to Cities",3.0,Yes,None,"Pamphlets, Newspapers/magazines",Loss in income,Urbanization,3.0,,Yes,3.0,,4.0,No,
110,Oshana,15-24,Male,High School,Economic Situation,Change in the environment,Season shift,Rain,Temperatures,3.0,To some extent,2,None,Loss in Agriculture Production,"Environmental Education, Recycling, Water Conservation",3.0,,,3.0,,3.0,Maybe,
111,Oshana,,Female,High School,Economic Situation,Change in weather conditions,None of the above,None of the above,,3.0,To some extent,None,Radio,Loss in Agriculture Production,"Deforestation, Pollution, Water Conservation",4.0,,Yes,2.0,,4.0,No,
112,Oshana,25-34,Female,High School,Poverty,"pollution, Change in the environment, Change in climate due to human",All of the above,,"Temperatures, Migration to Cities",4.0,To some extent,None,"Radio, Television","Damage to property, Loss in income, Loss of workers","Environmental Education, Recycling",3.0,,Yes,3.0,,4.0,Maybe,
113,Oshana,35-44,Female,Primary School,"Poverty, Armed Conflicts, Economic Situation",Change in temperature,"Rain, Droughts",Floods,"Temperatures, Drought",1.0,No,1,"Radio, Awareness Campaigns",Loss in Agriculture Production,"Deforestation, Water Conservation",3.0,,Yes,3.0,,3.0,No,
114,Oshana,15-24,Female,University,"Poverty, Economic Situation","Change in weather conditions, Change in climate due to global warming","Rain, Temperature","Rain, Temperature","Temperatures, Global warming",3.0,To some extent,1,"Radio, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Health Hazards","Climate Change, Pollution, Water Conservation",4.0,,,5.0,,3.0,Yes,Deforestation 
115,Oshana,25-34,Female,High School,"Poverty, Economic Situation, Increasing Population","Change in weather conditions, Change in climate due to global warming","Rain, Droughts, Floods",All of the above,,4.0,To some extent,None,Radio,,"Overpopulation, Environmental Education, Renewable Energy",,,Yes,,,4.0,No,
116,Oshana,15-24,Female,High School,"Economic Situation, Spread of Infectious diseases",Change in climate due to global warming,Temperature,All of the above,Temperatures,3.0,To some extent,1,None,Health Hazards,"Deforestation, Climate Change, Water Conservation",4.0,,Yes,3.0,,3.0,Maybe,
117,Oshana,25-34,Female,College,"Poverty, Economic Situation, Spread of Infectious diseases","pollution, Change in climate due to global warming","Rain, Floods",Rain,"Temperatures, Drought",3.0,Yes,2,Radio,"Loss in Agriculture Production, Loss in income, Loss of workers","Pollution, Environmental Education, Recycling",3.0,Poor municipality services,Yes,5.0,,4.0,No,
118,Oshana,15-24,Female,University,Poverty,"Change in weather conditions, Change in the environment",Rain,"Rain, Droughts","Temperatures, Increasing intensity and frequency of extreme weather events",3.0,Yes,None,"Radio, Television",Loss in Agriculture Production,"Environmental Education, Recycling, Water Conservation",4.0,Overpopulation ,Yes,3.0,,3.0,No,
119,Oshana,55-64,Male,High School,"Poverty, Lack of clean water, Economic Situation","Change in temperature, pollution","Rain, Droughts, Season shift","Rain, Droughts, Season shift","Sea level rise, Temperatures, Drought",4.0,No,None,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Health Hazards, Loss of workers","Urbanization, Climate Change, Desertification",4.0,"Lack of water management - maintenance, culture, and rules and regulations (enforcement) ",,5.0,,5.0,Yes,"Proper management scheme, with level of practice "
120,Oshana,15-24,Male,High School,"Poverty, Economic Situation, Climate Change","Change in weather conditions, Change in climate due to global warming","Rain, Droughts, Floods","Rain, Droughts, Floods",Sea level rise,2.0,Yes,None,Radio,"Damage to property, Health Hazards, Loss in income","Urbanization, Environmental Education, Renewable Energy",4.0,Pollution ,Yes,5.0,,4.0,Yes,Recycle and minimize the usage of the CFC products 
121,Oshana,35-44,Female,High School,"Poverty, Economic Situation, Spread of Infectious diseases","pollution, Change in the environment, Change in climate due to human","Rain, Droughts, Floods",All of the above,"Drought, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,To some extent,1,Awareness Campaigns,"Loss in Agriculture Production, Health Hazards, Loss in income","Urbanization, Desertification, Environmental Education",3.0,Poor water conservation and management,Yes,3.0,,5.0,Yes,Manage water better
122,Oshana,15-24,Male,High School,"Poverty, Economic Situation, Climate Change","Change in weather conditions, pollution, Change in climate due to global warming","Rain, Temperature, Droughts","Rain, Temperature, Season shift","Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,None,"Radio, Television","Damage to property, Health Hazards, Loss in income","Overpopulation, Urbanization, Deforestation",4.0,"Water pollution, acid rain ( air pollution - unburned hydrocarbs)",Yes,5.0,,5.0,Yes,"Burn less fossil fuel, cut less trees down "
