,Region,Age_range,Sex,Education_level,Climate_threats,Climate_change,Environmental_risks_5y,Environmental_risks_10y,Climate_effects,Participation,Informed_status,Awareness_Campaigns,Information_dessemination,Climate_losses,Priority_issues,Climate_Exacerbation,WaterSecurity_factors,EffectOn_yield,Rate_of_Effect,Climate_effect_yield,Droughts_severity,Measures_awareness,Mitigation_measures
123,Oshana,45-54,Female,University,Economic Situation,"Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Temperature, Droughts",All of the above,Global warming,,To some extent,None,Radio,"Loss in Agriculture Production, Health Hazards, Lack of potable water","Environmental Education, Recycling, Renewable Energy",3.0,,Yes,4.0,,4.0,Yes,carry out awareness campaigns in those communities
124,Oshana,55-64,Female,College,"Poverty, Economic Situation, Climate Change","Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts","Rain, Droughts, Floods","Flooding, Drought, Global warming",2.0,To some extent,None,Radio,"Loss in Agriculture Production, Lack of potable water","Deforestation, Climate Change, Environmental Education",4.0,the absence of boreholes,Yes,5.0,,4.0,No,
125,Oshana,25-34,Male,University,"Poverty, Economic Situation, Biodiversity (habitats) loss","Change in temperature, Change in weather conditions, Change in climate due to global warming","Droughts, Floods, Season shift","Temperature, Floods, Season shift","Sea level rise, Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,3,"Radio, Television, Awareness Campaigns","Loss in Agriculture Production, Health Hazards, Lack of potable water","Climate Change, Pollution, Renewable Energy",4.0,Lack of wells or damns ,Yes,4.0,,4.0,Yes,Planting more trees and cutting down less 
126,Oshana,55-64,Female,University,"Poverty, Lack of clean water, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to global warming",All of the above,All of the above,"Flooding, Temperatures, Drought",4.0,To some extent,None,Newspapers/magazines,"Damage to property, Loss in Agriculture Production, Health Hazards","Overpopulation, Deforestation, Environmental Education",5.0,Poor municipal services.,Yes,3.0,,4.0,No,
127,Oshana,,Female,University,Economic Situation,Change in the environment,Season shift,Temperature,Increasing intensity and frequency of extreme weather events,3.0,Yes,None,Radio,Health Hazards,"Deforestation, Environmental Education, Water Conservation",1.0,,,2.0,,1.0,No,
128,Oshana,15-24,Male,University,Climate Change,"Change in temperature, Change in climate due to global warming, Change in the environment","Rain, Temperature, Droughts, Floods","Rain, Temperature, Droughts, Floods","Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,1,"Pamphlets, Radio, Television","Loss in Agriculture Production, Loss in income, Loss of workers","Recycling, Renewable Energy, Water Conservation",2.0,Lack of cooporation and climate change worsens the situation,Yes,4.0,,5.0,Yes,
129,Oshana,25-34,Male,University,Economic Situation,"Change in temperature, Change in weather conditions, Change in the environment","Rain, Droughts, Floods","Rain, Floods","Sea level rise, Temperatures",2.0,To some extent,None,Radio,Loss in Agriculture Production,"Urbanization, Climate Change, Pollution",2.0,,,3.0,,3.0,No,
130,Oshana,45-54,Male,University,"Economic Situation, Climate Change",Change in climate due to global warming,"Rain, Droughts",All of the above,"Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",4.0,Yes,3,Radio,"Loss in Agriculture Production, Health Hazards, Loss in income, Loss of workers","Environmental Education, Renewable Energy, Water Conservation",3.0,Lack of water conservation and lakes dams,Yes,3.0,,4.0,No,
131,Oshana,25-34,Female,University,"Economic Situation, Spread of Infectious diseases, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming","Rain, Temperature, Droughts","Rain, Droughts","Temperatures, Global warming",4.0,Yes,2,Radio,"Damage to property, Loss in Agriculture Production","Environmental Education, Recycling, Water Conservation",3.0,,Yes,3.0,,3.0,No,
132,Oshana,25-34,Male,High School,"Poverty, Economic Situation, Climate Change",Change in climate due to global warming,"Rain, Temperature","Rain, Temperature, Floods","Flooding, Temperatures",1.0,No,1,"Television, Newspapers/magazines",Damage to property,"Overpopulation, Pollution",1.0,Corruption,Yes,5.0,,4.0,No,
133,Oshana,15-24,Female,High School,Economic Situation,"Change in temperature, Change in weather conditions, Change in climate due to global warming","Temperature, Floods",All of the above,"Sea level rise, Temperatures, Drought",3.0,No,None,"Radio, Town criers","Loss in Agriculture Production, Loss in income, Lack of potable water","Environmental Education, Recycling, Renewable Energy",4.0,Drought ,Yes,4.0,,3.0,No,
134,Oshana,15-24,Female,University,"Poverty, Economic Situation, Spread of Infectious diseases",Change in climate due to global warming,Rain,All of the above,Temperatures,2.0,No,None,Newspapers/magazines,Loss in Agriculture Production,,5.0,,No,,,5.0,Yes,Educate people
135,Oshana,15-24,Female,College,"Poverty, Economic Situation",Change in weather conditions,Rain,Temperature,Migration to Cities,3.0,No,None,Radio,Loss in Agriculture Production,"Environmental Education, Recycling, Water Conservation",3.0,,Yes,3.0,,2.0,No,
136,Oshana,55-64,Male,High School,"Economic Situation, Spread of Infectious diseases, Climate Change","Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Droughts, Floods","Rain, Droughts, Floods","Flooding, Temperatures",3.0,Yes,2,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Lack of potable water","Deforestation, Climate Change, Environmental Education",3.0,,,4.0,,4.0,No,
137,Oshana,15-24,Female,University,Poverty,Change in temperature,All of the above,Rain,Drought,4.0,To some extent,None,Radio,Loss in Agriculture Production,"Overpopulation, Urbanization, Pollution",4.0,Rain,Yes,5.0,,4.0,No,
138,Oshana,25-34,Female,University,Poverty,Change in weather conditions,All of the above,Rain,Global warming,5.0,To some extent,None,Radio,Loss in Agriculture Production,"Urbanization, Deforestation, Pollution",1.0,poverty,Yes,5.0,,5.0,No,
139,Oshana,25-34,Female,University,Poverty,Change in weather conditions,All of the above,All of the above,Increasing intensity and frequency of extreme weather events,3.0,No,None,Radio,Loss in income,"Recycling, Renewable Energy, Water Conservation",5.0,,No,,,5.0,No,
140,Oshana,25-34,Male,High School,"Poverty, Economic Situation","Change in climate due to global warming, Change in the environment",Droughts,"Temperature, Droughts","Temperatures, Drought",5.0,To some extent,1,"Radio, Awareness Campaigns",Lack of potable water,"Environmental Education, Renewable Energy, Water Conservation",5.0,OVERPOPULATION,Yes,5.0,,3.0,Yes,"water conservation, environmental education"
141,Oshana,35-44,Female,University,"Poverty, Economic Situation, Climate Change","Change in temperature, pollution, Change in climate due to global warming, Change in climate due to human","Rain, Droughts, Floods","Rain, Temperature, Droughts, Floods","Flooding, Temperatures, Increasing intensity and frequency of extreme weather events, Migration to Cities",5.0,Yes,3,"Pamphlets, Radio, Television, Awareness Campaigns","Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income","Deforestation, Desertification, Pollution, Water Conservation",3.0,water pollution,Yes,5.0,,5.0,Yes,Deforestation  and pollution should be avoided
142,Oshana,25-34,Male,College,"Poverty, Economic Situation, Spread of Infectious diseases","pollution, Change in climate due to global warming, Change in the environment","Rain, Temperature, Droughts, Floods","Rain, Droughts, Floods","Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,Yes,,"Radio, verbal communication","Loss in Agriculture Production, Health Hazards","Desertification, Renewable Energy, Water Conservation",4.0,take time to provide boreholes to the community,Yes,4.0,,3.0,Maybe,
143,Oshana,25-34,Male,High School,Poverty,Change in weather conditions,Season shift,All of the above,Increasing intensity and frequency of extreme weather events,1.0,To some extent,None,Radio,Loss in Agriculture Production,"Urbanization, Environmental Education, Water Conservation",2.0,,Yes,5.0,,3.0,Yes,
144,Oshana,25-34,Female,High School,"Economic Situation, Spread of Infectious diseases, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to human","Rain, Temperature","Rain, Temperature","Sea level rise, Flooding, Drought",3.0,To some extent,None,"Radio, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Loss of workers","Pollution, Environmental Education, Recycling",,Droughts,Yes,4.0,,4.0,Maybe,
145,Oshana,15-24,Female,University,Spread of Infectious diseases,Change in climate due to human,Floods,Droughts,Flooding,4.0,To some extent,None,School,Loss in Agriculture Production,"Overpopulation, Climate Change, Desertification",5.0,Pollution,Yes,5.0,,5.0,No,
146,Oshana,15-24,Male,High School,Increasing Population,Change in weather conditions,Droughts,Rain,Drought,3.0,To some extent,1,Television,Loss in Agriculture Production,"Deforestation, Climate Change, Pollution",4.0,Climate change,Yes,3.0,,2.0,No,
147,Oshana,15-24,Female,University,Poverty,Change in weather conditions,Rain,Rain,Global warming,5.0,Yes,None,Radio,Loss in Agriculture Production,"Pollution, Environmental Education, Water Conservation",5.0,Water pollution,Yes,5.0,,4.0,Maybe,
148,Oshana,25-34,Male,High School,"Poverty, Biodiversity (habitats) loss, Climate Change","Change in weather conditions, Change in climate due to global warming","Rain, Season shift","Droughts, Floods",Global warming,1.0,No,None,"Radio, Television","Loss in Agriculture Production, Loss in income","Climate Change, Environmental Education, Renewable Energy",3.0,Low Rainfall,Yes,4.0,,5.0,Maybe,
149,Oshana,15-24,Male,University,"Poverty, Spread of Infectious diseases","Change in weather conditions, Change in climate due to global warming","Rain, Temperature, Droughts, Floods",All of the above,"Flooding, Temperatures, Drought",3.0,Yes,None,"Radio, Television","Damage to property, Loss in Agriculture Production, Loss in income","Deforestation, Pollution, Environmental Education",4.0,,Yes,5.0,,4.0,Maybe,
150,Oshana,35-44,Female,High School,"Poverty, Spread of Infectious diseases, Climate Change","Change in temperature, Change in weather conditions, Change in climate due to human","Rain, Temperature, Droughts",All of the above,"Temperatures, Increasing intensity and frequency of extreme weather events, Migration to Cities",1.0,To some extent,4 +,,"Damage to property, Loss in Agriculture Production, Loss in income","Climate Change, Pollution, Environmental Education",5.0,Poor Municipal services,Yes,5.0,,5.0,No,
151,Oshana,15-24,Male,University,Economic Situation,"pollution, Change in the environment",None of the above,"Rain, Droughts","Temperatures, Increasing intensity and frequency of extreme weather events, Migration to Cities",3.0,To some extent,None,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production, Loss of workers","Overpopulation, Urbanization, Renewable Energy",4.0,"When the municipal committee set up the water dispersal methods through the different communities, they did not set up good water security measures.",Yes,3.0,,4.0,Yes,
152,Oshana,45-54,Male,College,"Economic Situation, Climate Change","pollution, Change in climate due to global warming","Rain, Temperature","Rain, Temperature, Droughts","Temperatures, Increasing intensity and frequency of extreme weather events",,No,,"Radio, Newspapers/magazines","Loss in Agriculture Production, Health Hazards",Renewable Energy,5.0,,Yes,5.0,,1.0,Yes,
153,Oshana,15-24,Male,University,Climate Change,"Change in climate due to human, I don’t know much about Climate Change",None of the above,"Rain, Droughts",Global warming,2.0,Yes,None,Radio,Loss in Agriculture Production,"Deforestation, Desertification",5.0,pollution,,4.0,,3.0,No,"Pollution caused by people burning wood, coal or wood that will deplete the ozone layer."
154,Oshana,35-44,Female,University,"Economic Situation, Climate Change","Change in climate due to global warming, Change in the environment","Rain, Droughts",Rain,Global warming,4.0,Yes,2,Television,"Loss in Agriculture Production, Health Hazards","Deforestation, Desertification",3.0,lack of rain,,1.0,,5.0,No,
155,Oshana,25-34,Male,College,Economic Situation,"Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Sea level rise, Flooding, Temperatures, Drought, Global warming",2.0,To some extent,None,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Loss of workers","Deforestation, Climate Change, Desertification, Pollution, Recycling, Water Conservation",4.0,"Due to the arid climate and high evapouration rate, the lack of readily available water in the interior of the country",Yes,3.0,,3.0,Maybe,"development and deployment of new Technologies.
"
156,Oshana,15-24,Male,University,"Economic Situation, Increasing Population",Change in climate due to global warming,"Droughts, Floods","Floods, Season shift","Sea level rise, Temperatures, Global warming",2.0,No,None,"Radio, Television","Loss in Agriculture Production, Loss in income, Loss of workers","Deforestation, Pollution, Recycling",5.0,over Population,Yes,5.0,,3.0,Yes,reduce population and increase recycling
157,Oshana,25-34,Female,High School,"Poverty, Armed Conflicts, Economic Situation, Climate Change","Change in temperature, Change in climate due to global warming, Change in the environment","Rain, Temperature, Droughts","Rain, Temperature, Droughts, Season shift","Temperatures, Global warming, Migration to Cities",4.0,Yes,1,"Radio, Television","Damage to property, Loss in Agriculture Production, Health Hazards, Loss in income, Loss of workers","Deforestation, Recycling, Renewable Energy",4.0,,Yes,2.0,,5.0,Maybe,
158,Oshana,25-34,Female,University,Spread of Infectious diseases,Change in weather conditions,"Rain, Droughts, Floods","Rain, Droughts, Floods",Temperatures,5.0,No,None,Radio,Damage to property,"Climate Change, Environmental Education, Recycling",5.0,lack of rainfall,Yes,,,4.0,No,
159,Oshana,35-44,Male,High School,"Armed Conflicts, Economic Situation, Spread of Infectious diseases, Climate Change",Change in climate due to global warming,,"Rain, Temperature, Droughts","Flooding, Temperatures, Drought",5.0,Yes,3,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Loss of workers","Deforestation, Climate Change, Environmental Education",5.0,lack of access to water,Yes,5.0,,5.0,Yes,Develop more projects
160,Oshana,25-34,Male,College,Poverty,"Change in temperature, Change in weather conditions, Change in climate due to global warming, I don’t know much about Climate Change","Rain, Temperature, Droughts, Floods, Season shift","Rain, Temperature, Droughts, Floods, Season shift","Temperatures, Global warming, Migration to Cities",4.0,Yes,None,Radio,"Loss in Agriculture Production, Loss in income, Loss of workers","Deforestation, Environmental Education, Water Conservation",4.0,Poor knowledge/ understanding of water treatment or management,Yes,3.0,,4.0,Yes,
161,Oshana,25-34,Male,High School,"Poverty, Economic Situation, Increasing Population","Change in climate due to global warming, Change in the environment, Change in climate due to human","Rain, Temperature, Droughts",All of the above,"Sea level rise, Temperatures, Global warming",4.0,To some extent,2,Newspapers/magazines,"Damage to property, Loss in Agriculture Production, Lack of potable water","Desertification, Pollution, Renewable Energy",5.0,Water pollution,Yes,5.0,,4.0,No,
162,Oshana,25-34,Female,University,Economic Situation,Change in climate due to global warming,Droughts,Floods,Global warming,3.0,No,1,Awareness Campaigns,Loss in income,"Deforestation, Recycling",5.0,low water storage,Yes,3.0,,2.0,No,
163,Oshana,25-34,Female,University,Poverty,Change in weather conditions,Rain,Floods,Drought,4.0,To some extent,None,Radio,Loss in Agriculture Production,Recycling,5.0,misuse of water e.g. fishing,No,4.0,,3.0,Yes,
164,Oshana,15-24,Male,High School,"Armed Conflicts, Economic Situation, Spread of Infectious diseases","Change in climate due to global warming, Change in climate due to human","Rain, Season shift","Temperature, Droughts","Temperatures, Global warming",1.0,Yes,None,"Pamphlets, Radio",Loss in Agriculture Production,"Deforestation, Pollution",3.0,,,4.0,,1.0,Yes,deforestation and pullotion
165,Oshana,15-24,Male,University,"Biodiversity (habitats) loss, Climate Change","Change in climate due to global warming, Change in climate due to human",Droughts,"Droughts, Floods",Global warming,3.0,To some extent,None,None,"Loss in Agriculture Production, Loss in income","Climate Change, Pollution, Water Conservation",4.0,"WATER CONSERVATION, WATER POLLUTION",Yes,2.0,,3.0,Maybe,
166,Oshana,15-24,Male,College,Economic Situation,Change in climate due to global warming,Droughts,Droughts,Global warming,4.0,To some extent,3,Radio,Health Hazards,Recycling,4.0,poor water handling,Yes,2.0,,2.0,Maybe,
167,Oshana,15-24,Male,High School,"Poverty, Economic Situation","Change in weather conditions, Change in climate due to human",Rain,Droughts,Global warming,1.0,Yes,2,Awareness Campaigns,"Loss in income, Lack of potable water","Deforestation, Water Conservation",4.0,AGING BOREHOLES,Yes,3.0,,5.0,Yes,
168,Oshana,25-34,Female,High School,"Poverty, Biodiversity (habitats) loss, Climate Change",Change in climate due to human,None of the above,None of the above,Migration to Cities,4.0,To some extent,None,"Radio, Newspapers/magazines",Loss in income,"Recycling, Renewable Energy",3.0,The goverment mus tprovide water everywhere especially in rural areas,Yes,5.0,,3.0,Maybe,
169,Oshana,25-34,Female,High School,Economic Situation,I don’t know much about Climate Change,Floods,"Rain, Droughts",,,No,None,"Radio, Television, Newspapers/magazines","Damage to property, Loss in Agriculture Production","Environmental Education, Recycling, Water Conservation",3.0,Drought,Yes,4.0,,3.0,Maybe,
170,Oshana,25-34,Male,University,"Poverty, Climate Change",Change in climate due to global warming,Droughts,Floods,"Flooding, Temperatures, Drought",3.0,To some extent,None,Radio,Loss in income,"Deforestation, Climate Change, Pollution",4.0,,No,,,4.0,Maybe,
171,Oshana,15-24,Male,High School,Poverty,Change in climate due to human,Droughts,Droughts,Drought,1.0,Yes,4 +,Radio,Loss in Agriculture Production,"Overpopulation, Environmental Education, Recycling",1.0,,No,1.0,,1.0,No,
172,Oshana,45-54,Male,High School,Poverty,Change in climate due to global warming,Floods,"Droughts, Floods",Global warming,3.0,No,None,Pamphlets,Damage to property,"Environmental Education, Recycling, Renewable Energy",4.0,water systems getting old and rusty and lack maintenance.,Yes,4.0,,4.0,No,
173,Oshana,25-34,Female,College,Economic Situation,Change in climate due to global warming,Rain,Droughts,Global warming,3.0,No,None,None,Loss in Agriculture Production,"Climate Change, Environmental Education, Renewable Energy",2.0,Overuse of water,Yes,4.0,,3.0,No,
174,Oshana,15-24,Female,College,"Economic Situation, Climate Change","Change in weather conditions, Change in climate due to global warming",Rain,Season shift,Global warming,3.0,To some extent,4 +,Radio,Loss in Agriculture Production,"Deforestation, Environmental Education, Recycling",4.0,ozone layer and dumping waste where its not supposed to be.,Yes,4.0,,4.0,Maybe,
175,Oshana,35-44,Female,High School,Economic Situation,"Change in climate due to global warming, Change in climate due to human",All of the above,All of the above,"Flooding, Temperatures, Increasing intensity and frequency of extreme weather events",,To some extent,None,Radio,"Damage to property, Loss in Agriculture Production, Health Hazards","Climate Change, Environmental Education, Water Conservation",5.0,lack of rain,,5.0,,5.0,Maybe,Stop deforestation and plant more trees
176,Oshana,25-34,Female,University,Poverty,Change in climate due to global warming,Rain,Temperature,"Flooding, Temperatures, Increasing intensity and frequency of extreme weather events",3.0,Yes,,Radio,"Damage to property, Loss in Agriculture Production, Loss in income","Pollution, Renewable Energy",4.0,when less rainfall occurs because some households use rainwater as a  source for their daily needs.,No,,,5.0,Maybe,
177,Oshana,35-44,Female,High School,"Poverty, Spread of Infectious diseases, Climate Change","pollution, Change in climate due to global warming",All of the above,All of the above,Drought,3.0,To some extent,None,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss of workers","Environmental Education, Recycling",5.0,,Yes,5.0,,5.0,No,
178,Oshana,25-34,Female,University,Poverty,"Change in weather conditions, pollution",All of the above,"Rain, Droughts, Floods",Flooding,3.0,To some extent,3,"Radio, Television, Newspapers/magazines","Damage to property, Health Hazards, Loss in income, Lack of potable water","Urbanization, Deforestation, Pollution",3.0,"Floods, as sometimes it floods where most of our communal taps are located.",Yes,4.0,,3.0,Yes,
179,Oshana,25-34,Male,College,"Poverty, Economic Situation, Climate Change","pollution, Change in climate due to global warming, Change in the environment","Rain, Temperature, Floods","Rain, Temperature, Season shift","Sea level rise, Temperatures, Global warming",3.0,Yes,4 +,"Radio, Awareness Campaigns","Loss in Agriculture Production, Loss in income","Environmental Education, Recycling, Renewable Energy",5.0,Poor municipal services,,5.0,,5.0,Yes,Switching to E-Fuel and using renewable energy
180,Oshana,25-34,Male,University,"Poverty, Economic Situation, Climate Change, Increasing Population","Change in temperature, Change in weather conditions, Change in climate due to global warming","Rain, Temperature, Droughts","Rain, Temperature, Droughts","Sea level rise, Temperatures, Drought",4.0,To some extent,1,Radio,"Loss in Agriculture Production, Health Hazards","Deforestation, Pollution, Environmental Education",4.0,pollution,Yes,4.0,,4.0,,"control mass pollution, deforestation"
181,Oshana,25-34,Male,High School,"Lack of clean water, Increasing Population","Change in temperature, Change in weather conditions",Rain,Rain,,,,,,,"Environmental Education, Renewable Energy",,,No,,,,,
182,Oshana,15-24,Male,High School,Poverty,Change in weather conditions,Rain,Season shift,Flooding,3.0,No,None,Television,Damage to property,"Recycling, Renewable Energy, Water Conservation",4.0,Water pollution from Factory Chemicals ,No,2.0,,2.0,No,
183,Oshana,35-44,Male,High School,Poverty,"Change in temperature, I don’t know much about Climate Change","Rain, Temperature",Temperature,"Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,To some extent,2,Radio,Loss in Agriculture Production,"Environmental Education, Renewable Energy, Water Conservation",3.0,LACK OF STORAGE,,3.0,,2.0,Maybe,
184,Oshana,25-34,Female,High School,Poverty,I don’t know much about Climate Change,Rain,All of the above,Drought,1.0,No,None,"Radio, Television, Newspapers/magazines","Loss in Agriculture Production, Loss in income, Loss of workers","Environmental Education, Recycling, Renewable Energy",1.0,None,Yes,1.0,,1.0,Maybe,
185,Oshana,15-24,Male,High School,"Poverty, Biodiversity (habitats) loss, Spread of Infectious diseases","Change in temperature, Change in weather conditions, pollution",All of the above,All of the above,"Sea level rise, Flooding, Temperatures",5.0,Yes,1,"Radio, Newspapers/magazines, Town criers","Damage to property, Loss in Agriculture Production, Health Hazards","Environmental Education, Recycling, Renewable Energy",5.0,the use and production of high yield of nitrates and sulphur that are washed into streams and rivers,Yes,5.0,,4.0,Yes,Reduce the use of fossil fuels and switch to fossil fuels
186,Oshana,15-24,Female,High School,"Poverty, Lack of clean water, Economic Situation","Change in temperature, Change in weather conditions, Change in climate due to global warming, Change in the environment","Rain, Droughts, Season shift","Temperature, Season shift","Sea level rise, Temperatures, Increasing intensity and frequency of extreme weather events",4.0,To some extent,None,Newspapers/magazines,"Loss in Agriculture Production, Lack of potable water","Overpopulation, Renewable Energy, Water Conservation",5.0,contamination of water sources,Yes,5.0,,4.0,No,
187,Oshana,15-24,Female,High School,Climate Change,Change in weather conditions,Rain,Rain,"Flooding, Temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",5.0,Yes,2,Television,Loss in Agriculture Production,"Climate Change, Environmental Education",5.0,drought,Yes,5.0,,5.0,Yes,"recycle water, conserve water"
188,Oshana,15-24,Female,High School,"Poverty, Spread of Infectious diseases, Increasing Population",Change in weather conditions,"Rain, Droughts","Temperature, Season shift",Migration to Cities,2.0,To some extent,,Television,Loss in Agriculture Production,"Deforestation, Recycling, Water Conservation",4.0,pollution,Yes,4.0,,4.0,Maybe,
189,Oshana,15-24,Female,High School,Poverty,Change in weather conditions,Season shift,Rain,"Temperatures, Global warming, Increasing intensity and frequency of extreme weather events",3.0,No,,None,Loss in Agriculture Production,"Deforestation, Environmental Education, Recycling",4.0,global warming and Poor Rainfall,Yes,4.0,,4.0,Yes,planting trees
190,Oshana,15-24,Female,High School,Poverty,pollution,Season shift,Rain,Global warming,,To some extent,2,,Health Hazards,"Deforestation, Climate Change, Environmental Education",3.0,drought,Yes,3.0,,5.0,Yes,recycle water and use less fossil fuels
191,Oshana,15-24,Female,High School,Poverty,Change in weather conditions,"Rain, Temperature, Droughts, Floods, Season shift",Season shift,"Temperatures, Drought, Global warming",3.0,Yes,4 +,Radio,"Loss in Agriculture Production, Loss in income","Deforestation, Pollution, Environmental Education",5.0,pollution,Yes,5.0,,5.0,No,
192,Oshana,15-24,Female,High School,Climate Change,Change in weather conditions,All of the above,All of the above,"Flooding, Temperatures, Increasing intensity and frequency of extreme weather events",3.0,Yes,1,Radio,Loss in Agriculture Production,"Deforestation, Climate Change, Water Conservation",5.0,drought,Yes,5.0,,5.0,Yes,use recycled water and conserve water
193,Oshana,15-24,Female,High School,Climate Change,Change in weather conditions,All of the above,Rain,"Flooding, Temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events",2.0,Yes,1,Radio,Loss in Agriculture Production,,5.0,Drought,Yes,5.0,,5.0,Yes,"reuse water, collect water from the rain"
194,Oshana,15-24,Male,High School,Economic Situation,Change in climate due to global warming,Season shift,Rain,"Sea level rise, Temperatures, Global warming",3.0,To some extent,None,Newspapers/magazines,Loss in Agriculture Production,Pollution,3.0,Pollution,Yes,4.0,,,Maybe,
195,Oshana,15-24,Female,High School,Climate Change,Change in weather conditions,All of the above,,,,,,,,,,Drought,,,,,,
196,Oshana,15-24,Male,High School,"Poverty, Climate Change, Increasing Population","Change in weather conditions, Change in climate due to global warming, Change in climate due to human","Rain, Temperature, Season shift",All of the above,"Sea level rise, Flooding, Temperatures, Drought, Global warming, Increasing intensity and frequency of extreme weather events, Migration to Cities",2.0,To some extent,None,None,"Loss in Agriculture Production, Health Hazards, Loss in income, Lack of potable water","Overpopulation, Urbanization, Climate Change",4.0,unsustainable farming practices,Yes,3.0,,2.0,Yes,Use of catalytic converters-decrease raw material sourcing from natural environment.
197,Oshana,15-24,Male,High School,Climate Change,I don’t know much about Climate Change,Season shift,Rain,Sea level rise,1.0,Yes,4 +,Television,Health Hazards,,1.0,Thirsty people,Yes,1.0,,1.0,Maybe,Arsenal Fans & Mr Simon
